,x,hx,model_hx_1
0,0.0,0.423113448515,0.423140029516
1,25.0,0.421851674625,0.423225415781
2,50.0,0.420584848542,0.42194977957
3,75.0,0.419312914241,0.420668864452
4,100.0,0.418035814677,0.419382750139
5,125.0,0.416753491751,0.418091417242
6,150.0,0.41546588629,0.416794702008
7,175.0,0.414172938016,0.415492392941
8,200.0,0.412874585515,0.414184378641
9,225.0,0.411570766211,0.412870699306
10,250.0,0.410261416334,0.411551445582
11,275.0,0.408946470886,0.410226600361
12,300.0,0.40762586361,0.408895982334
13,325.0,0.406299526958,0.40755935365
14,350.0,0.404967392049,0.406216588893
15,375.0,0.403629388639,0.404867734455
16,400.0,0.40228544508,0.403512891706
17,425.0,0.400935488282,0.402152036493
18,450.0,0.399579443672,0.400784959076
19,475.0,0.39821723515,0.399411392899
20,500.0,0.396848785047,0.398031206994
21,525.0,0.395474014082,0.396644463521
22,550.0,0.394092841309,0.39525127331
23,575.0,0.392705184076,0.393851591307
24,600.0,0.391310957968,0.392445165161
25,625.0,0.389910076755,0.39103169907
26,650.0,0.388502452342,0.389611069886
27,675.0,0.38708799471,0.388183367324
28,700.0,0.385666611853,0.386748706198
29,725.0,0.384238209724,0.385306999869
30,750.0,0.382802692165,0.383857937017
31,775.0,0.381359960847,0.382401197583
32,800.0,0.379909915194,0.380936686796
33,825.0,0.378452452316,0.379464533575
34,850.0,0.376987466935,0.377984842029
35,875.0,0.375514851304,0.376497454019
36,900.0,0.374034495127,0.3750019844
37,925.0,0.372546285474,0.373498105249
38,950.0,0.371050106698,0.371985779315
39,975.0,0.369545840333,0.370465180244
40,1000.0,0.368033365008,0.368936370139
41,1025.0,0.366512556341,0.367399080103
42,1050.0,0.364983286837,0.365852845939
43,1075.0,0.363445425776,0.36429736767
44,1100.0,0.361898839101,0.362732700476
45,1125.0,0.3603433893,0.361159050061
46,1150.0,0.358778935275,0.359576380282
47,1175.0,0.357205332217,0.357984268987
48,1200.0,0.355622431467,0.356382192974
49,1225.0,0.354030080371,0.354769941869
50,1250.0,0.352428122131,0.353147691423
51,1275.0,0.350816395645,0.35151562847
52,1300.0,0.349194735344,0.349873533588
53,1325.0,0.347562971016,0.348220805825
54,1350.0,0.345920927625,0.346556930704
55,1375.0,0.344268425117,0.344881871182
56,1400.0,0.342605278218,0.343195913617
57,1425.0,0.340931296223,0.341499112395
58,1450.0,0.339246282772,0.339790965746
59,1475.0,0.337550035613,0.338070727486
60,1500.0,0.335842346354,0.336338027174
61,1525.0,0.334123000203,0.33459307285
62,1550.0,0.33239177569,0.33283615797
63,1575.0,0.330648444373,0.331067018609
64,1600.0,0.328892770534,0.329284815358
65,1625.0,0.327124510851,0.327488811965
66,1650.0,0.325343414051,0.325678968887
67,1675.0,0.323549220546,0.323855707467
68,1700.0,0.321741662048,0.322019068238
69,1725.0,0.319920461156,0.320168266079
70,1750.0,0.31808533092,0.318302236746
71,1775.0,0.31623597438,0.316420569786
72,1800.0,0.314372084075,0.314523674386
73,1825.0,0.312493341515,0.312611894922
74,1850.0,0.310599416632,0.310684615553
75,1875.0,0.308689967179,0.308740510611
76,1900.0,0.306764638102,0.306778724591
77,1925.0,0.304823060863,0.304799527647
78,1950.0,0.302864852715,0.302803530581
79,1975.0,0.300889615935,0.300790351759
80,2000.0,0.298896936996,0.298758453651
81,2025.0,0.296886385677,0.296706489149
82,2050.0,0.294857514115,0.294634501924
83,2075.0,0.292809855788,0.292543334725
84,2100.0,0.290742924408,0.290432855222
85,2125.0,0.288656212748,0.288301303978
86,2150.0,0.286549191362,0.286146791101
87,2175.0,0.284421307212,0.283969103008
88,2200.0,0.282271982182,0.281769320776
89,2225.0,0.280100611471,0.279547526863
90,2250.0,0.277906561849,0.277301626758
91,2275.0,0.275689169768,0.275029104029
92,2300.0,0.273447739307,0.272729539294
93,2325.0,0.271181539935,0.270404330395
94,2350.0,0.268889804075,0.268053662987
95,2375.0,0.266571724441,0.265674832982
96,2400.0,0.264226451125,0.263264580496
97,2425.0,0.261853088409,0.260822474441
98,2450.0,0.259450691259,0.258350388316
99,2475.0,0.257018261472,0.255848322945
100,2500.0,0.25455474343,0.253312448755
101,2525.0,0.252059019405,0.250738688001
102,2550.0,0.249529904366,0.2481270572
103,2575.0,0.246966140215,0.245480069941
104,2600.0,0.244366389376,0.242796831418
105,2625.0,0.241729227644,0.240071566179
106,2650.0,0.239053136191,0.237299613816
107,2675.0,0.236336492603,0.234482335121
108,2700.0,0.2335775608,0.23162270228
109,2725.0,0.230774479662,0.228717298982
110,2750.0,0.227925250165,0.225757450998
111,2775.0,0.225027720757,0.22273915039
112,2800.0,0.222079570708,0.219666401112
113,2825.0,0.219078291042,0.216540948588
114,2850.0,0.216021162639,0.213353676202
115,2875.0,0.21290523096,0.21009315785
116,2900.0,0.209727276753,0.206759512093
117,2925.0,0.206483781911,0.203359461013
118,2950.0,0.203170889494,0.199887481691
119,2975.0,0.199784356631,0.196325002622
120,3000.0,0.196319498705,0.192663279146
121,3025.0,0.192771122762,0.188911549222
122,3050.0,0.189133447505,0.185070633351
123,3075.0,0.185400006428,0.181115218128
124,3100.0,0.181563529535,0.17702269075
125,3125.0,0.17761579759,0.172802071403
126,3150.0,0.173547460709,0.168462010731
127,3175.0,0.169347810047,0.163966823968
128,3200.0,0.165004486903,0.159271951982
129,3225.0,0.160503107007,0.154386236927
130,3250.0,0.155826767766,0.149326826038
131,3275.0,0.150955390753,0.144029295781
132,3300.0,0.145864826961,0.138409449029
133,3325.0,0.140525611439,0.132487166335
134,3350.0,0.134901184002,0.126277970842
135,3375.0,0.128945267754,0.11961333415
136,3400.0,0.12259786261,0.112337999547
137,3425.0,0.115778843497,0.104531693308
138,3450.0,0.108377149925,0.0960593952097
139,3475.0,0.100231194513,0.0863117312914
140,3500.0,0.0910898618495,0.0751221127161
141,3525.0,0.0805239129308,0.062473046399
142,3550.0,0.0676795072533,0.0458603645644
143,3575.0,0.050285680635,0.0223864994291
144,3600.0,0.0,0.00141356721402
